Total_Bsmt_SF,Gr_Liv_Area,Overall_Qual,Exter_Qual,Heating_QC,Kitchen_Qual,Garage_Finish,MS_SubClass,MS_Zoning,Lot_Config,Neighborhood,House_Style,Roof_Style,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Foundation,Garage_Type,SalePrice
916.0,1636,6,3,4,3,3,high,RL,Corner,mid,2Story,Gable,HdBoard,HdBoard,None,PConc,Attchd,173000
1152.0,2270,8,4,5,4,3,high,RL,CulDSac,high,2Story,Gable,VinylSd,VinylSd,BrkFace,PConc,Attchd,290000
1184.0,2610,8,4,5,5,3,high,FV,Inside,mid,2Story,Gable,CemntBd,CmentBd,None,PConc,BuiltIn,303477
1420.0,1483,7,4,4,3,2,mid,RL,Inside,mid,1Story,Hip,Wd Sdng,Wd Sdng,None,CBlock,Attchd,270000
936.0,1740,5,2,4,5,1,low,RM,Corner,low,1.5Fin,Gable,WdShing,Wd Shng,None,BrkTil,Detchd,122250
1382.0,1382,5,3,4,4,1,mid,RL,Inside,low,1Story,Gable,AsbShng,AsbShng,None,CBlock,Attchd,153000
1120.0,1120,5,3,5,3,0,mid,RL,Inside,low,1Story,Gable,VinylSd,VinylSd,None,PConc,NA,147000
531.0,1098,7,3,3,3,1,mid,RL,Inside,mid,2Story,Gable,Wd Sdng,Wd Sdng,None,BrkTil,Detchd,148500
976.0,1708,7,4,5,4,1,mid,RM,Inside,low,2Story,Gable,VinylSd,VinylSd,Stone,PConc,Detchd,130000
1802.0,1802,9,5,5,5,3,mid,RL,Corner,high,1Story,Hip,MetalSd,MetalSd,Stone,PConc,Attchd,372000
1362.0,1506,7,4,5,4,3,high,RL,Inside,mid,1Story,Gable,VinylSd,VinylSd,BrkFace,PConc,Attchd,213490
1508.0,1508,7,4,5,4,2,mid,RL,Inside,low,1Story,Gable,VinylSd,VinylSd,Stone,PConc,Attchd,308030
1840.0,2032,7,4,5,4,3,mid,RL,Inside,low,1Story,Gable,MetalSd,MetalSd,BrkFace,PConc,Attchd,300000
655.0,1194,6,3,5,3,3,mid,RL,Corner,low,1Story,Hip,BrkFace,BrkFace,None,CBlock,BuiltIn,159500
970.0,1709,7,4,5,4,1,mid,RM,Inside,low,2Story,Gable,VinylSd,VinylSd,Stone,PConc,Detchd,137500
1616.0,1616,7,4,5,4,2,mid,RL,Inside,mid,1Story,Gable,VinylSd,VinylSd,BrkFace,PConc,Attchd,232000
768.0,768,6,4,3,3,1,low,RM,Inside,low,1Story,Gable,Stucco,Wd Shng,None,BrkTil,Detchd,93850
872.0,872,5,3,2,2,1,low,RL,Inside,low,1Story,Gable,BrkFace,Wd Sdng,Stone,BrkTil,Detchd,105000
520.0,520,4,3,2,2,1,low,RM,Inside,low,1Story,Gable,MetalSd,MetalSd,None,BrkTil,Detchd,68500
1105.0,2274,5,3,3,3,1,low,RL,Corner,low,2Story,Gable,MetalSd,MetalSd,BrkFace,CBlock,Detchd,154300
936.0,1601,5,4,5,3,0,low,RM,Inside,low,1.5Fin,Gable,VinylSd,VinylSd,None,BrkTil,NA,129850
616.0,1232,5,3,5,3,1,mid,RM,Inside,low,2Story,Gable,MetalSd,MetalSd,None,BrkTil,Detchd,114000
2216.0,2234,9,5,5,5,3,mid,RL,CulDSac,high,1Story,Hip,VinylSd,VinylSd,Stone,PConc,Attchd,501837
876.0,1416,5,3,4,3,1,low,RM,Inside,low,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,BrkTil,Detchd,153900
864.0,864,4,3,4,3,1,mid,RL,FR2,low,1Story,Gable,VinylSd,VinylSd,None,CBlock,Detchd,130000
1189.0,1189,6,3,5,3,2,high,RM,FR2,low,1Story,Hip,VinylSd,VinylSd,BrkFace,PConc,Attchd,160500
1666.0,1666,9,5,5,4,2,high,RL,Inside,high,1Story,Hip,MetalSd,MetalSd,BrkFace,PConc,Attchd,310090
1176.0,1200,7,4,5,4,2,mid,RL,Inside,mid,1Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,184900
928.0,928,5,3,3,3,1,mid,RL,Inside,low,1Story,Hip,Wd Sdng,Wd Sdng,None,CBlock,Attchd,132000
1288.0,1336,5,3,3,3,2,mid,RL,Inside,mid,1Story,Gable,HdBoard,HdBoard,BrkFace,CBlock,Attchd,163000
600.0,1200,7,4,5,4,2,mid,FV,Inside,mid,2Story,Gable,MetalSd,MetalSd,BrkFace,PConc,Detchd,155000
1427.0,1427,6,3,4,3,2,mid,RL,Inside,mid,SLvl,Gable,MetalSd,MetalSd,None,CBlock,Attchd,183000
860.0,1992,7,4,5,4,2,high,RL,Corner,mid,2Story,Gable,VinylSd,VinylSd,BrkFace,PConc,Attchd,211000
754.0,1540,7,4,5,4,2,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,184000
0.0,1535,5,3,3,3,1,low,RL,Inside,mid,1Story,Gable,HdBoard,HdBoard,None,Slab,Attchd,118858
1152.0,1152,5,3,3,3,2,mid,RL,Corner,low,SLvl,Hip,Wd Sdng,HdBoard,BrkFace,PConc,Attchd,180500
1141.0,1151,8,4,5,4,3,high,FV,Inside,mid,1Story,Gable,VinylSd,VinylSd,Stone,PConc,Attchd,166000
1138.0,1138,6,3,5,3,2,mid,RL,Inside,low,SLvl,Hip,Wd Sdng,Wd Sdng,BrkFace,CBlock,Attchd,148000
894.0,1074,5,3,4,4,1,mid,RL,Inside,low,1Story,Hip,Wd Sdng,Wd Sdng,None,CBlock,Detchd,124000
1561.0,1561,9,5,5,5,3,high,RL,Inside,high,1Story,Hip,MetalSd,MetalSd,BrkFace,PConc,Attchd,277500
1342.0,2726,8,4,5,4,2,high,RL,Inside,high,2Story,Hip,VinylSd,VinylSd,BrkFace,PConc,Attchd,350000
1884.0,1884,9,5,5,5,3,mid,RL,CulDSac,high,1Story,Hip,VinylSd,VinylSd,BrkFace,PConc,Attchd,387000
528.0,605,4,3,5,3,0,low,RL,Inside,low,1Story,Gable,Wd Sdng,Wd Sdng,None,BrkTil,NA,86000
1426.0,1671,8,5,5,5,2,mid,RL,Inside,high,1Story,Gable,VinylSd,VinylSd,None,CBlock,Attchd,290000
245.0,797,3,3,3,3,0,low,C (all),Corner,low,1Story,Mansard,AsbShng,AsbShng,None,CBlock,NA,44000
804.0,1961,6,3,5,4,3,high,RL,CulDSac,low,2Story,Gable,VinylSd,VinylSd,None,PConc,BuiltIn,215000
1153.0,1193,5,3,5,3,3,low,RL,Corner,mid,1Story,Gable,Plywood,Plywood,BrkFace,CBlock,Attchd,146500
673.0,1382,7,4,5,4,1,mid,FV,FR2,mid,2Story,Gable,MetalSd,MetalSd,None,PConc,Detchd,165000
714.0,2526,6,3,3,4,1,low,RM,Inside,low,1.5Fin,Gable,Stucco,Stucco,None,BrkTil,Detchd,136000
1705.0,1390,6,3,5,5,1,mid,RL,CulDSac,low,1Story,Gable,Wd Sdng,Wd Sdng,Stone,CBlock,Attchd,252000
764.0,1626,7,4,5,4,2,mid,RL,Inside,high,2Story,Gable,VinylSd,Wd Shng,Stone,PConc,BuiltIn,175500
690.0,1558,5,3,3,3,1,mid,RM,Inside,low,2Story,Gable,Wd Sdng,Wd Sdng,None,BrkTil,Detchd,150000
978.0,1422,5,3,3,3,2,mid,RL,Inside,low,1Story,Hip,Wd Sdng,Wd Sdng,None,CBlock,Attchd,139900
1078.0,1573,5,3,3,3,1,low,RM,Inside,low,1.5Fin,Gable,MetalSd,MetalSd,None,PConc,Detchd,162900
1116.0,1116,6,3,3,3,1,mid,RL,Corner,low,1Story,Hip,Wd Sdng,Wd Sdng,BrkFace,CBlock,Attchd,160000
0.0,660,2,3,2,2,0,mid,RL,Corner,low,1Story,Gable,Wd Sdng,Wd Sdng,None,Slab,NA,63900
1140.0,1707,6,3,4,3,3,mid,RL,Inside,mid,1Story,Gable,HdBoard,HdBoard,BrkFace,PConc,Attchd,184000
1466.0,1466,5,3,3,2,3,mid,RL,Inside,low,1Story,Gable,HdBoard,Plywood,BrkFace,CBlock,Attchd,149900
1614.0,1638,9,4,5,5,3,high,FV,Inside,mid,1Story,Hip,MetalSd,MetalSd,BrkFace,PConc,Attchd,300000
988.0,1721,5,3,4,3,1,low,RL,Corner,mid,1Story,Flat,Plywood,Plywood,Stone,CBlock,Basment,145000
928.0,1764,6,3,5,4,2,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,231500
996.0,996,5,3,5,3,0,low,RL,Inside,low,1Story,Gable,WdShing,Wd Shng,None,CBlock,NA,108000
1202.0,1202,5,3,3,3,2,mid,RL,Inside,low,1Story,Gable,BrkFace,BrkFace,None,CBlock,Attchd,120000
988.0,988,5,3,3,3,1,mid,RL,Inside,low,1Story,Hip,Wd Sdng,Wd Sdng,BrkFace,CBlock,Detchd,128500
1008.0,1028,5,3,4,3,1,low,RM,Inside,low,1Story,Gable,WdShing,Wd Shng,None,CBlock,Detchd,115000
720.0,1284,5,3,3,3,1,low,RM,Inside,low,1.5Fin,Gable,AsbShng,AsbShng,None,CBlock,Detchd,110000
994.0,2944,9,4,3,4,2,high,RL,CulDSac,high,2Story,Mansard,Wd Sdng,Wd Sdng,BrkFace,CBlock,Attchd,150000
707.0,1414,8,4,5,4,3,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,178000
637.0,1609,7,3,5,4,1,mid,RL,Inside,mid,2Story,Gable,Wd Sdng,Wd Sdng,None,BrkTil,2Types,199500
813.0,1525,6,3,5,3,3,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,183500
624.0,1656,5,2,5,3,1,mid,RM,Inside,low,SLvl,Hip,HdBoard,Plywood,None,CBlock,Attchd,126000
1055.0,1055,7,3,2,3,1,high,RL,Inside,low,1Story,Gable,Plywood,Brk Cmn,None,CBlock,Attchd,148500
676.0,1352,5,3,5,4,1,high,RL,Inside,low,2Story,Gable,VinylSd,VinylSd,None,BrkTil,Detchd,149000
855.0,1456,6,3,3,3,1,mid,RL,Inside,low,2Story,Gable,Plywood,Brk Cmn,None,CBlock,Attchd,137900
1719.0,1719,8,4,5,4,3,high,RL,CulDSac,high,1Story,Gable,BrkFace,BrkFace,None,PConc,Attchd,324000
864.0,864,5,3,3,3,0,low,RL,Inside,low,1Story,Gable,Stucco,Stucco,None,CBlock,NA,98000
483.0,987,6,3,3,3,1,mid,RM,Inside,low,2Story,Gable,HdBoard,HdBoard,BrkFace,CBlock,Detchd,103400
780.0,1020,5,3,4,3,0,low,RL,Inside,low,1.5Fin,Gable,VinylSd,VinylSd,None,CBlock,NA,94000
1554.0,1554,8,4,5,4,2,high,RL,Inside,high,1Story,Gable,VinylSd,VinylSd,Stone,PConc,Attchd,209500
1528.0,3390,10,5,5,5,3,high,RL,CulDSac,high,2Story,Hip,CemntBd,CmentBd,BrkFace,PConc,BuiltIn,545224
780.0,1560,6,4,5,4,0,mid,RM,Inside,low,2Story,Gable,Wd Sdng,Wd Sdng,None,PConc,NA,159900
864.0,864,4,3,5,3,1,mid,RL,Corner,mid,1Story,Gable,VinylSd,VinylSd,None,CBlock,Detchd,141000
982.0,1889,6,3,5,3,3,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,215000
1040.0,1040,5,3,5,3,1,mid,RL,Corner,low,1Story,Gable,HdBoard,HdBoard,None,CBlock,Detchd,127000
1172.0,1172,5,3,3,3,3,mid,RL,Inside,low,1Story,Gable,WdShing,Wd Shng,None,CBlock,Attchd,128000
1642.0,1418,8,4,5,4,2,mid,FV,Inside,mid,1Story,Gable,CemntBd,CmentBd,None,PConc,Attchd,267916
884.0,1367,6,3,3,3,1,low,RM,Inside,low,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,BrkTil,Detchd,127500
0.0,1922,7,4,5,4,2,mid,RL,Corner,low,SFoyer,Gable,HdBoard,HdBoard,BrkFace,Slab,BuiltIn,198500
1422.0,1422,6,3,3,4,3,mid,RL,Inside,mid,1Story,Gable,MetalSd,MetalSd,BrkFace,CBlock,Attchd,175500
985.0,1842,7,4,5,4,3,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,BrkFace,PConc,Attchd,217500
888.0,1962,4,3,5,3,1,low,RM,Inside,low,1.5Fin,Gable,MetalSd,MetalSd,None,CBlock,Detchd,149500
864.0,1120,5,4,5,3,2,mid,RL,Inside,low,1Story,Hip,HdBoard,HdBoard,BrkFace,PConc,Attchd,148800
1992.0,2868,9,4,5,5,3,high,RL,Inside,high,2Story,Hip,CemntBd,CmentBd,Stone,PConc,BuiltIn,556581
1478.0,1478,6,3,4,3,2,mid,RL,Inside,low,1Story,Hip,BrkFace,BrkFace,None,CBlock,Attchd,156500
930.0,1995,7,4,5,4,2,high,RL,Corner,mid,2Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,237000
912.0,912,5,3,2,3,3,mid,RL,Inside,low,1Story,Gable,MetalSd,MetalSd,None,CBlock,Attchd,120000
1326.0,1326,6,3,5,4,3,mid,RL,Corner,mid,1Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,203000
1191.0,1204,8,3,3,3,2,high,RL,Inside,high,1Story,Gable,HdBoard,HdBoard,None,CBlock,Attchd,130000
780.0,1611,6,3,3,3,2,high,RL,Inside,low,2Story,Gable,HdBoard,HdBoard,BrkFace,CBlock,Attchd,167900
960.0,960,4,3,3,3,1,low,RL,Inside,low,1Story,Gable,HdBoard,HdBoard,BrkFace,CBlock,Detchd,129000
1070.0,1236,5,3,3,4,1,mid,RL,Inside,low,1Story,Gable,HdBoard,HdBoard,BrkFace,CBlock,Attchd,134450
816.0,1416,5,3,5,4,1,low,RL,Inside,low,1Story,Gable,Wd Sdng,Wd Sdng,None,BrkTil,Attchd,112000
929.0,1873,7,4,5,4,2,high,RL,Inside,mid,2Story,Gable,HdBoard,HdBoard,BrkFace,PConc,Attchd,207000
1040.0,2128,5,3,3,3,0,low,RM,Inside,low,2Story,Hip,MetalSd,MetalSd,None,BrkTil,NA,62500
764.0,1626,7,4,5,4,2,mid,RL,Inside,high,2Story,Gable,VinylSd,Wd Shng,Stone,PConc,BuiltIn,154000
816.0,816,5,3,3,3,1,mid,RL,Corner,low,1Story,Gable,WdShing,Wd Shng,None,CBlock,Detchd,129900
536.0,1112,5,3,3,3,1,mid,RM,Inside,low,2Story,Gable,CemntBd,CmentBd,None,CBlock,Attchd,85000
572.0,1111,7,3,3,3,1,low,RM,Inside,low,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,PConc,Detchd,116900
855.0,1441,6,3,3,3,1,mid,RL,Inside,low,2Story,Gable,Plywood,Brk Cmn,None,CBlock,Attchd,148500
672.0,924,4,3,2,2,1,low,RL,Inside,low,1.5Fin,Gable,MetalSd,MetalSd,None,BrkTil,Detchd,80000
1060.0,1126,5,3,3,3,1,mid,RL,CulDSac,low,SFoyer,Gable,VinylSd,VinylSd,None,PConc,Attchd,152000
381.0,992,5,3,5,3,1,mid,RL,Corner,low,1Story,Gable,VinylSd,VinylSd,None,CBlock,Detchd,155891
768.0,1376,6,3,5,4,1,low,RL,Inside,low,1.5Fin,Gable,Wd Sdng,Wd Shng,None,PConc,Detchd,165000
1218.0,1218,7,4,5,4,2,mid,FV,Inside,mid,1Story,Hip,VinylSd,VinylSd,None,PConc,Attchd,204500
728.0,1644,5,3,5,4,1,mid,RL,Inside,low,2Story,Gable,MetalSd,MetalSd,Stone,CBlock,Attchd,146500
1271.0,1601,7,3,3,3,2,mid,RL,Inside,mid,1Story,Gable,Plywood,Plywood,BrkFace,CBlock,Attchd,157000
1313.0,2495,7,3,4,3,1,mid,RM,Inside,low,2Story,Gable,Wd Sdng,Wd Shng,None,BrkTil,Detchd,184000
783.0,1509,6,4,5,4,3,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,183200
1092.0,1092,5,3,3,3,1,mid,RL,Inside,low,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,CBlock,Attchd,139000
1311.0,2418,7,4,5,4,2,high,RL,Inside,high,2Story,Hip,Wd Sdng,ImStucc,BrkFace,PConc,Attchd,341000
483.0,987,6,3,3,3,1,mid,RM,Inside,low,2Story,Gable,HdBoard,HdBoard,BrkFace,CBlock,Detchd,96000
1121.0,1121,4,3,5,3,2,mid,RM,Corner,low,1Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,140000
912.0,1236,6,3,3,3,1,mid,RM,Inside,low,1Story,Gable,MetalSd,MetalSd,None,CBlock,Attchd,149700
1056.0,1074,5,3,5,3,2,mid,RL,Inside,mid,1Story,Gable,HdBoard,HdBoard,None,CBlock,Attchd,153500
0.0,733,1,2,1,2,1,mid,A (agr),Inside,low,1Story,Gable,AsbShng,VinylSd,None,Slab,Attchd,13100
884.0,1768,7,4,5,4,2,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,BrkFace,PConc,Attchd,224900
1257.0,1266,7,4,5,4,1,mid,FV,Inside,mid,1Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,176000
1683.0,2872,8,4,5,4,3,low,RL,Inside,high,1.5Fin,Hip,HdBoard,HdBoard,BrkFace,PConc,Attchd,285000
1485.0,1464,8,4,5,4,1,mid,RL,CulDSac,mid,1Story,Gable,VinylSd,VinylSd,Stone,PConc,Attchd,282922
924.0,2157,7,3,5,4,3,high,RL,Corner,low,2Story,Gable,MetalSd,MetalSd,BrkFace,CBlock,Attchd,226000
1234.0,2576,8,5,5,5,3,high,RL,Inside,high,2Story,Hip,VinylSd,VinylSd,BrkFace,PConc,BuiltIn,361919
1398.0,2798,9,4,5,5,3,high,RL,CulDSac,high,2Story,Hip,VinylSd,VinylSd,BrkFace,PConc,BuiltIn,457347
966.0,1743,8,4,5,4,3,mid,RL,Inside,mid,1Story,Shed,Wd Sdng,Wd Sdng,None,CBlock,Attchd,279000
1567.0,1567,6,3,3,4,2,mid,RL,Inside,low,1Story,Gable,Plywood,ImStucc,None,PConc,Attchd,196000
1090.0,1370,7,3,3,3,2,mid,RL,Inside,mid,1Story,Gable,HdBoard,HdBoard,BrkFace,CBlock,Attchd,152000
1248.0,2634,5,3,3,3,1,low,RL,Inside,low,2Story,Gable,MetalSd,MetalSd,BrkFace,CBlock,Detchd,200000
1570.0,1590,8,4,5,5,3,mid,RL,Inside,mid,1Story,Hip,VinylSd,VinylSd,BrkFace,PConc,Attchd,294900
1450.0,1450,7,4,5,4,2,mid,RL,Inside,mid,1Story,Gable,VinylSd,VinylSd,BrkFace,PConc,Attchd,224243
832.0,1338,6,3,3,3,1,low,RL,Corner,low,1.5Fin,Gable,AsbShng,AsbShng,None,BrkTil,Detchd,92000
728.0,1456,7,4,5,4,3,high,RL,Inside,mid,2Story,Hip,VinylSd,VinylSd,None,PConc,Attchd,179540
2392.0,2392,10,5,5,5,3,mid,RL,Inside,high,1Story,Hip,VinylSd,VinylSd,BrkFace,PConc,Attchd,386250
530.0,992,4,3,3,3,3,low,RM,Inside,low,SLvl,Gable,CemntBd,CmentBd,None,CBlock,BuiltIn,106500
1017.0,2007,10,5,5,5,3,high,FV,Inside,mid,2Story,Gable,VinylSd,VinylSd,Stone,PConc,Attchd,310000
1066.0,2385,7,4,5,4,3,high,RL,Inside,high,2Story,Gable,VinylSd,VinylSd,BrkFace,PConc,BuiltIn,252000
918.0,1646,7,3,4,3,1,mid,RL,Inside,mid,2.5Unf,Gable,MetalSd,MetalSd,None,CBlock,Detchd,164000
728.0,1456,7,4,5,4,3,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,Stone,PConc,Attchd,177594
528.0,1040,5,3,4,3,3,low,RM,Inside,low,1.5Fin,Gable,VinylSd,VinylSd,None,CBlock,Detchd,123900
